I feel good about what I'm working on,I feel good about my career path,I feel good about my work-life balance,I feel valued by those around me,I see opportunities for career growth,"In your opinion, what are the top three skills most in demand in the battery industry?","In opinion, which part(s) of the battery value chain are most in need of more skilled workers?",What is your highest level of education?,What did you study in school?,What country do you live in?,What is your ZIP code or postal code?,What is your total income over the past 12 months?,How many hours did you work last week?,What is your age?,How would you best describe yourself?,To which gender do you most identify with?,What is your citizenship status in the country you currently live in?,Have you ever served in the military?,What is your current employment situation?,"Since you're currently working in the industry, we would love to ask you some more detailed questions about your industry experience.

Would you like to complete these additional questions? ","Since you're a student, we would love to ask you more detailed questions about your student and job searching experience.

Would you like to complete these additional questions? ","Since you've indicated that you used to work for a company but no longer work there, we would love to ask you more detailed questions about your experience with the previous company and your job-search process.

Would you like to complete these additional questions? ",Why did you leave your previous company?,I am satisfied with my compensation,I am being underpaid compared to similar roles,I am satisfied with the raises and/or bonuses I have been receiving,What is your annual base salary?,"Beyond base salary, what additional compensation types do you receive?",How many times have you received a base salary increase over the past 12 months of employment?,How many times have you received a bonus over the past 12 months of employment?,How many years have you been with the company?,Where does the company fall on the battery value chain?,How would you classify your company's stage of development?,In what country is your office located?,In what state is your office located?,How many days did you work in the office last week?,How many employees work at your company?,What is the total headcount on your team?,What is your current job title?,What does your role involve?,What is your current level?,Why did you choose your current role and company?,Have you previously worked in other industries?,What was your previous role before joining the battery industry?,After working for 1 week?,After working for 1 month?,After working for 3 months?,Last week?,"When you first started your role, how were you trained?","When you first started in the battery industry, what could have improved your job performance on day one?",How many internships did you complete before starting your current role?,"In your opinion, what are the top skills that contributed to your success?","In your opinion, which positions are the hardest to fill in your company?","In your opinion, what do you think are the main barriers to hiring skilled talent in the battery industry?",How many times have you changed employers in the last five years?,Are you currently seeking new job opportunities?,My company has a good reputation in the industry,I want to stay with my company for at least 12 more months,I am satisfied with my current job stability,I am confident in my ability to find my next job in the industry,"If you were offered a similar role with a different company, what factors would influence your decision accept the offer?",Is there anything else you'd like to share about what you're looking for in your next role?,Mental health support,Work-life balance initiatives,Financial wellness programs,Career development opportunities,What benefits does your company entitle you to?,How many weeks of parental leave are you entitled to?,How many weeks of paid time off are you entitled to each year?,How many days of sick leave are you entitled to?,Are there any unique benefits that you value?,"After graduating, I know what role(s) to apply to","After graduating, I will find a job","By the time I graduate, I will have learned the skills needed to find a job",I am optimistic about the future of the battery industry,"After you graduate, what would be your ideal job title?","After you graduate, what part(s) of the battery value chain do you see yourself contributing to?",Which of the following aspects are you looking for in your first job?,How much do you expect to be paid for your first job?,How many internships have you completed so far?,"During your previous internship, where did your  employer fall on the battery value chain?","During your previous internship, what did your role involve?","During your previous internship, what are the top three skills that contributed to your success?","During your previous internship, were there skills you wish you had learned but didn't? If yes, what were they?","During your previous internship, were there skills that you felt unprepared for? If yes, what were they?","During your previous internship, what was your hourly pay?","During your previous internship, how many hours per week did you work, on average?",Submitted At,Token
5,5,5,5,5,Vendor/consultant evaluation; fire safety/standards expertise; commissioning expertise,"Product integration (stationary storage), Energy infrastructure, Equipment manufacturing",Bachelors,Mechanical Engineering,United States,80202,115000,40,26,White,Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/18/2024 16:39:37,50irzojabg540lkcz50irzojakla6whp
5,5,5,5,5,"Manufacturing,process engineering,electrochemistry","Cell production, Module/pack production, Product integration (electronics)",Masters,Mechanical Engineering,United States,13905,75000,40,30,Asian,Male,Non-citizen (H-1B visa),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,3,3,2,75000,,0,0,2,"Cell production, Consulting, Product integration (stationary storage)",Scale-up (rapid growth),United States,New York,5,11-50,1-10,,"Research and development, Manufacturing and production, Engineering and design",Career,"Learning and skills development, Work-life balance, Challenge and innovation, Supportive team and environment, Desirable work location","Yes, in a different role",,4,4,5,5,"Peer mentors, Formal training programs",More hands-on skills,1,,,,,TRUE,5,2,3,5,"Career growth opportunities, Visa sponsorship, Job stability, Company culture",,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,10/18/2024 17:45:25,yga7x7500k3roub7wyga7x7uk49wf9a2
5,5,5,5,5,Focus on solutions for disposing of and recycling lithium or other chemical batteries,Energy infrastructure,Bachelors,,United States,20175,,,38,"White, Asian",Female,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/18/2024 18:08:21,3uba09beal4o0iteirf3uba09zhmzozs
4,3,2,3,3,"Data analysis, electrochemistry, material science","Cell production, Recycling, Software",Masters,Chemical Engineering,Sweden,16953,450000,40,35,"Hispanic, Latino, or Spanish origin, Black or African American",Male,EU Residence card,No,I'm not employed right now but I used to work for a company,,,TRUE,I was laid off,1,4,4,450000,Health and wellness stipends,1,0,2,"Cell production, Research and development",Scale-up (rapid growth),Sweden,,3,"1,001-5,000",11-20,Test and validation engineer,"Engineering and design, Testing and validation, Research and development",Developing,"Career growth opportunities, Challenge and innovation","Yes, in a different role",,2,3,4,5,"Learning on the job, Peer mentors","More hands-on skills, Better foundational knowledge",2,"Data analysis, continuous learning, python","Gigafactory CEO, manufacturing expert","Difficult to gain expertise, unattractive locations",3,TRUE,3,1,1,2,"Job stability, Salary, bonuses, Vacation time, Career growth opportunities, Work location flexibility","Geography, hybrid work",4,2,2,4,"Healthcare coverage or stipend, Gym or physical wellness stipend",,5,,,,,,,,,,,,,,,,,,,10/18/2024 20:35:03,oxadlr1eng097ncjv7koxadlr1iaw57l
5,5,2,5,5,"Commercial skills, manufacturing plant personnel, automation","Software, Consulting, Equipment manufacturing",Bachelors,Management and Business Administration,United States,95065,300000,70,,"Hispanic, Latino, or Spanish origin",Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,3,4,4,150000,"Equity (stock, options, etc.), Commissions",0,3+,2,Software,Startup (early growth),United States,California,1,11-50,1-10,,"Sales and services, Software development",Executive,"Supportive team and environment, Challenge and innovation, Career growth opportunities","Yes, in a similar role",,2,4,5,5,Learning on the job,Better understanding of culture and norms,0,"Flexibility, desire to learn",commercial roles,lack of prior experience that translates,3,TRUE,5,5,5,5,"Salary, bonuses, Job stability, Career growth opportunities, Company's chance for success","more upside, unicorn",5,4,3,3,"Transit benefits, Healthcare coverage or stipend",0,2,10,"work from home, freedom, growth",,,,,,,,,,,,,,,,,10/19/2024 0:14:19,jp9qjyjboe4k1qvjp9q3117gexf40q75
5,5,5,5,5,"1. Battery Rework Technicians, 2. Battery Quality Engineer 3. Battery Data Analyst","Product integration (vehicles, mobility), Product integration (stationary storage), Recycling",Higher National Diploma,Mechanical Engineering,Nigeria,500001,6000000,40,39,"Igbo, African",Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,4,4,4,21600000,"Health and wellness stipends, Commissions",0,0,1,"Product integration (vehicles, mobility), Software, Product integration (electronics), Energy infrastructure",Scale-up (rapid growth),Nigeria,,5,"50,001-100,000",1-10,Market Quality Specialist,"Quality, Manufacturing and production, Testing and validation",Career,"Career growth opportunities, Competitive salary and benefits, Learning and skills development, Sustainability and impact, Challenge and innovation","Yes, in a different role",Battery and Power systems analyst,5,5,5,5,"Learning on the job, Formal training programs","Better foundational knowledge, More hands-on skills, Better understanding of culture and norms",0,"Industrial Automation and mechatronics, automobile repairs, power systems troubleshoot",Cells and battery pack engineer,"Lack of required skills set, poor battery education, slow EV adoption",3,FALSE,4,4,5,5,"Salary, bonuses, Job stability, Equity, Career growth opportunities, Visa sponsorship, Total hours worked, Work location flexibility, Vacation time",Opportunity to work with big EV company,4,4,4,5,"Healthcare coverage or stipend, Retirement account funding or match",3,3,0,Health Insurance,,,,,,,,,,,,,,,,,10/19/2024 0:49:08,5s74rcwqyqdiw9xm9rp5s74rcwvt3czc
5,3,1,3,3,,"Cell production, Mining, Equipment manufacturing",Doctorate,,,,250000,60,39,White,Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,3,3,4,200000,"Equity (stock, options, etc.), Education or tuition reimbursement, Bonuses (based on individual performance)",1,1,9,Cell production,Established (significant market presence),United States,California,5,"100,000+",101+,,"Engineering and design, Product design, Managing projects or programs",Expert,"Challenge and innovation, Autonomy and independence","Yes, in a different role",,1,3,4,5,Learning on the job,"Better foundational knowledge, More hands-on skills",0,,,,,TRUE,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/19/2024 2:51:06,xx8wdaowrh7xx8wrx4mu1nh8gb7ymco3
5,5,3,5,5,"Understanding of Lithium Chemistry, Its Deterioration , Battery Management System","Product integration (vehicles, mobility)",Bachelors,Mechanical Engineering,India,122015,400000,70,48,Asian,Male,Citizen (native-born),No,Own Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/19/2024 8:30:17,uzxedhsdezzvemul4uzxedaf10xivaqu
5,4,4,5,5,Project Management; Leadership; Supply Chain Management,"Component/precursor production, Refining, Recycling",Bachelors,Management and Business Administration,Germany,73760,102000,55,36,White,Male,Citizen (native-born),Yes,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,5,1,4,85000,"Bonuses (based on individual performance), Bonuses (based on company performance), Bonuses (based on retention), Health and wellness stipends, Education or tuition reimbursement",1,3+,9,"Product integration (vehicles, mobility)",Established (significant market presence),Germany,,180,"100,000+",11-20,Senior Supplier Capacity Manager,"Supply chain, Managing projects or programs, Manufacturing and production, New product introduction (NPI)",Expert,"Learning and skills development, Challenge and innovation, Career growth opportunities, Competitive salary and benefits, Sustainability and impact",No,,3,3,4,5,"Learning on the job, Peer mentors",More hands-on skills,3,Ambition; Endurance; Project Management,,,0,FALSE,5,5,5,5,"Salary, bonuses, Equity, Career growth opportunities, Parental leave, Company culture",,5,5,5,5,"Healthcare coverage or stipend, Retirement account funding or match, Transit benefits, Gym or physical wellness stipend, Meal stipend, Work-from-home stipend, Educational, tuition, or continued education stipend",8,6,60,,,,,,,,,,,,,,,,,,10/19/2024 15:39:32,0b330hrgvur8rxn70b330hszchvbazh6
5,5,5,5,5,"Data analysis, EIS techniques, software development","Recycling, Consulting, Software",Bachelors,Electrical Engineering,United States,85288,6000,8,21,"Hispanic, Latino, or Spanish origin",Male,Non-citizen (F1/M1/OPT holder),No,"I'm in school or in training (e.g., a student or postdoc)",,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5,5,Entry level engineer,"Recycling, Software, Product integration (electronics)","Learning and skills development, Competitive salary and benefits, Challenge and innovation, Work-life balance",50000,1,Consulting,Research and development,"Data analytics, Biologic Battery Tester, Blade Coating","Yes, battery electronics","Yes, plotting data",14,30,10/20/2024 2:34:47,no5xixlo4cqpwpuno5xg1wuyxu8ykk0r
,,,,4,"Cathode Material synthesis, cell assembly, crll","Module/pack production, Cell production, Component/precursor production",Doctorate,Chemical Engineering,India,302026,600000,60,25,Asian,Male,Citizen (native-born),No,"I'm in school or in training (e.g., a student or postdoc)",,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,Battery Research Scientists,"Component/precursor production, Cell production, Module/pack production","Job security, Career growth opportunities, Challenge and innovation",1500000,2,"Component/precursor production, Cell production, Module/pack production","Engineering and design, Manufacturing and production, Testing and validation","Cathode material synthesis, cell assembly, cell characterisation","Battery management system, cell integration, pack assembly",,0,60,10/20/2024 9:07:10,3u59x4ehb779s0a9m6r3u59x4efwv25k
5,3,4,4,3,"operations, user-centric design",Product integration (stationary storage),Bachelors,Computer Science,United States,92037,175000,40,28,Asian,Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/20/2024 14:43:45,si30a20jhtmlpsi33tsxqs7hto24bfa4
3,2,3,4,3,"Prioritization, communication, managing expectations","Cell production, Product integration (vehicles, mobility)",Doctorate,Chemistry,Estonia,80034,108000,40,35,White,Male,Citizen (native-born),Yes,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,2,5,2,109000,Health and wellness stipends,0,0,1,Cell production,Startup (early growth),Norway,,0,101-250,1-10,Senior Research Scientist,"Managing projects or programs, Research and development, Testing and validation",Senior,"Hybrid/remote work, Competitive salary and benefits",No,,2,2,4,5,Learning on the job,"Better understanding of culture and norms, Better understanding of corporate culture and communication",0,"Good foundational knowledge, self-taught, curiosity",Project management,Fierce competition for talent; bloated claims by start-ups; focus on domain knowledge over soft skills,2,TRUE,4,2,3,4,"Salary, bonuses, Equity, Perks, Career growth opportunities, Company culture",more influence over decision making; focus on processes,5,5,5,3,Gym or physical wellness stipend,4,4,180,no,,,,,,,,,,,,,,,,,10/20/2024 14:46:11,uiyq1vouv6htcsjzykuiyq1v298k81nj
5,5,4,4,5,"Innovation, hard work, knowledge","Recycling, Cell production, Module/pack production",Bachelors,Mechanical Engineering,United States,37075,140000,30,29,White,Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,4,3,4,70000,"Commissions, Bonuses (based on individual performance)",1,,5,Cell production,Established (significant market presence),United States,Kentucky,0,101-250,11-20,Account manager,"Engineering and design, Facilities, Managing projects or programs, Manufacturing and production, Quality, Sales and services",Developing,"Job security, Learning and skills development, Supportive team and environment, Work-life balance, Hybrid/remote work, Competitive salary and benefits","Yes, in a different role",Process Engineer,1,2,2,4,"Learning on the job, Peer mentors","Better foundational knowledge, Better understanding of culture and norms",1,"Asked questions, Spoke to everyone",Shop Employees,"There isn’t enough background knowledge in the talent pool, it needs developed",0,FALSE,4,5,4,4,"Salary, bonuses, Job stability, Vacation time, Perks, Total hours worked, Parental leave",,4,3,3,4,"Healthcare coverage or stipend, Retirement account funding or match, Educational, tuition, or continued education stipend",4,4,5,,,,,,,,,,,,,,,,,,10/21/2024 2:59:15,6zrcfqp1z0aq1aedtk96zrcfqa5gemxz
2,1,1,2,2,"Application knowledge, production knowledge, material knowledge","Cell production, Product integration (vehicles, mobility), Equipment manufacturing",Masters,Chemistry,Germany,48153,120000,42,39,White,Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,2,4,2,100000,Bonuses (based on individual performance),1,1,8,Component/precursor production,Established (significant market presence),Japan,,4,"100,000+",1-10,Technology Planning Manager,"Managing projects or programs, Research and development",Senior,"Learning and skills development, Career growth opportunities, Challenge and innovation",No,,3,4,5,3,Learning on the job,Better understanding of culture and norms,0,"Knowledge about batteries, willingness to take ownership,","R&D Management, Marketing","limited local availability, high competition",0,TRUE,3,1,4,4,"Salary, bonuses, Career growth opportunities, Company culture","growth, ownership, accountability",1,1,2,2,,4,6,0,,,,,,,,,,,,,,,,,,10/21/2024 6:11:34,7txo1khjhcznkg9rr7txo1dp6jyy1tf0
5,4,5,5,4,Data Science; Experiment Design; Python,Software,Doctorate,Chemical Engineering,United States,02144,170000,40,33,White,Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/21/2024 14:05:46,v56przb3pb83c1rcqifv56przbf0ynvc
4,3,3,5,4,"[Battery chemistry knowledge], [Future tech understanding], [Project management]","Energy infrastructure, Cell production, Module/pack production",Masters,Civil and Environmental Engineering,United States,94577,38000,0,27,,Male,Citizen (native-born),No,I'm not employed right now but I used to work for a company,,,TRUE,I was laid off,4,2,4,94000,"Equity (stock, options, etc.), Bonuses (based on individual performance)",0,0,1,"Product integration (vehicles, mobility), Cell production",Established (significant market presence),United States,California,5,"100,000+",21-50,Thermal Battery Abuse Test Technician,"Engineering and design, Research and development, Testing and validation",Entry,"Learning and skills development, Competitive salary and benefits, Career growth opportunities, Challenge and innovation","Yes, in a similar role",,4,5,5,5,"Learning on the job, Peer mentors",More hands-on skills,1,"[Battery knowledge], [Hands on testing], [Automotive background]",[Cell Engineer],"Tough job market, companies fluctuating in funding",3,TRUE,5,3,4,4,"Salary, bonuses, Work location flexibility, Career growth opportunities, Vacation time, Company culture","Remote, Salary raise, Flexible time off",4,5,4,4,"Healthcare coverage or stipend, Educational, tuition, or continued education stipend",6,6,8,Flexible time off; remote work,,,,,,,,,,,,,,,,,10/21/2024 17:46:42,d83y76kns0772j44s1vd83y7x3n4bcgj
5,5,4,4,3,Customer support for systems in operation; Field service (during maintenance); Oversight in complex BESS application behind the meter,"Product integration (stationary storage), Software, Product integration (electronics)",Masters,Chemical Engineering,Netherlands,3542,120000,40,38,White,Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,3,3,3,120000,Bonuses (based on company performance),0,1,7,"Energy infrastructure, Software, Product integration (stationary storage)",Scale-up (rapid growth),Netherlands,,4,51-100,21-50,CTO,"Engineering and design, IT infrastructure, Managing people, Managing projects or programs, New product introduction (NPI), Quality, Research and development, Software development, Software integration, Strategy and planning",Executive,"Sustainability and impact, Challenge and innovation, Autonomy and independence","Yes, in a different role",Consultant; Engineer,3,3,3,4,"Learning on the job, Peer mentors",,2,Endurance; Overseeing complex problems; strategic thinking,customer support; (sales) partner managers; hardware developers,small industry (in NL); lack of experience,0,FALSE,4,4,4,4,"Company culture, Career growth opportunities",,3,4,2,3,"Retirement account funding or match, Work-from-home stipend, Gym or physical wellness stipend, Meal stipend, Educational, tuition, or continued education stipend",0,6,365,SARs (for our employees); weekly helathy lunch;  drinks and parties,,,,,,,,,,,,,,,,,10/21/2024 18:03:19,jkp5w9m5y0kb0jkpv4evjtzt2mqnmyz3
4,2,1,4,2,System Architecture development; requirement decomposition; thermal propagation prevention design,"Energy infrastructure, Module/pack production, Cell production",Masters,Mechanical Engineering,United States,94022,175000,50,31,Middle Eastern or North African,Female,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,1,5,1,148000,"Equity (stock, options, etc.), Health and wellness stipends",0,0,1,"Component/precursor production, Cell production, Module/pack production, Product integration (vehicles, mobility), Product integration (stationary storage), Recycling, Software, Energy infrastructure",Established (significant market presence),United States,California,5,"100,000+",11-20,System Architecture Engineer,"Engineering and design, Managing projects or programs, Manufacturing and production, Product design, Recruiting, Testing and validation, Managing people",Senior,"Desirable work location, Career growth opportunities, Learning and skills development, Challenge and innovation","Yes, in a similar role",,2,1,4,3,"Learning on the job, Peer mentors, Classical training via masters",,4,Relentless learner; physics theory knowledge; listening,Mechanic design engineers; electrical design engineers; lead mechanical engineers,Shitty HR filtering; Lack of knowledge; poor pay/benefits,1,TRUE,4,5,2,3,"Salary, bonuses, Job stability, Vacation time, Career growth opportunities, Parental leave, Equity, Total hours worked, Work location flexibility",Salary to match cost of living for geography; better parental leave (ideally 5+ months); better equity package,4,1,1,1,"Healthcare coverage or stipend, Retirement account funding or match, Transit benefits, Educational, tuition, or continued education stipend",17,4,2,Equity; mental health benefit; better health insurance,,,,,,,,,,,,,,,,,10/21/2024 22:55:32,vyuwh8140ekcio2vsnvyuws9wvbmhdcc
5,5,2,5,5,Equipment Commissioning and Tuning,"Cell production, Equipment manufacturing, Component/precursor production",Masters,Engineering (Other),United States,21774,200000,50,36,White,Male,,No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,4,5,5,165000,"Bonuses (based on individual performance), Bonuses (based on company performance), Health and wellness stipends",1,1,14,Consulting,Established (significant market presence),United States,Virginia,3,"25,001-50,000",1-10,Business Development,"Engineering and design, Investor, Facilities, Finance, Legal, Marketing, Sales and services, Strategy and planning, Supply chain",Senior,"Job security, Career growth opportunities, Challenge and innovation, Competitive salary and benefits","Yes, in a similar role",,2,3,4,5,Learning on the job,"Better foundational knowledge, Better understanding of culture and norms",0,Experience in adjacent markets; technical & commercial mix; questioning attitude,Process engineer; project manager; planner,Lack of industry talent in USA; questionable market finance commitments making hiring picture difficult,0,FALSE,4,5,5,5,"Salary, bonuses, Job stability, Career growth opportunities, Parental leave, Work location flexibility, Company culture, Vacation time, Perks, Equity",,4,3,3,4,"Healthcare coverage or stipend, Retirement account funding or match",2,4,0,Dependent Care Savings Account; Inexpensive but high quality life insurance; Short Term and Long Term Disability Insurance,,,,,,,,,,,,,,,,,10/22/2024 2:26:17,anl3xa3rdrpyscb2rcanl3xae072gf58
4,4,4,4,4,,"Cell production, Product integration (electronics), Software",Doctorate,Electrical Engineering,Germany,,110000,45,35,White,Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/22/2024 4:46:16,1ro6g0kl7g1xeyxh5q86w61kv0f0j78x
4,3,3,4,4,"Equipment operation, simulation and coding","Module/pack production, Consulting, Product integration (electronics)",Doctorate,,United States,48105,40000,80,28,Asian,Male,Non-citizen (F1/M1/OPT holder),No,"I'm in school or in training (e.g., a student or postdoc)",,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,3,Research scientist,Cell production,"Learning and skills development, Supportive team and environment, Job security, Work-life balance, Competitive salary and benefits, Career growth opportunities",12000,0,,,,,,,,10/22/2024 14:12:12,xtetg241d3emvstxrvlc4xtetg2yhzdt
4,3,3,3,5,Research; thermal management; CAD,"Product integration (vehicles, mobility), Cell production, Consulting",Bachelors,Mechanical Engineering,United States,48105,33000,40,23,"Hispanic, Latino, or Spanish origin",Male,Citizen (native-born),No,"I'm in school or in training (e.g., a student or postdoc)",,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,4,5,Battery R&D,"Cell production, Product integration (vehicles, mobility), Energy infrastructure, Product integration (stationary storage), Module/pack production, Component/precursor production, Recycling","Competitive salary and benefits, Sustainability and impact, Supportive team and environment, Job security, Challenge and innovation, Learning and skills development, Career growth opportunities, Work-life balance",105000,0,,,,,,,,10/22/2024 14:14:46,ozlwxesa50l0l47mozlwj46w2rdorp2l
4,4,3,4,4,"Cell manufacturing, process engineer","Cell production, Product integration (vehicles, mobility), Component/precursor production",Masters,Materials Science and Engineering,India,,,25,23,Asian,Male,Non-citizen (F1/M1/OPT holder),No,"I'm in school or in training (e.g., a student or postdoc)",,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,Materials Development Engineer,"Cell production, Component/precursor production, Equipment manufacturing, Product integration (vehicles, mobility), Module/pack production, Refining","Career growth opportunities, Learning and skills development, Supportive team and environment, Competitive salary and benefits, Sustainability and impact",85000,2,"It was a wearable sensor related internship, not battery","Engineering and design, Research and development, Manufacturing and production",,,,,,10/22/2024 14:15:12,dfk0l255r4qv1bimdfkzcbvg5fz9upgn
3,4,3,4,3,[AI];[electrochemistry];[work overtime],"Consulting, Software, Cell production",Masters,Materials Science and Engineering,United States,48105,38000,40,26,Asian,Male,Non-citizen (F1/M1/OPT holder),,"I'm in school or in training (e.g., a student or postdoc)",,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,4,R&D engineer,Consulting,Work-life balance,100000,1,,Engineering and design,[communication];[presentation];[material science knowledge ],,,40,40,10/22/2024 14:20:46,pv9d9kz51xhi9p8fq25pv9d9kwwcfs4d
4,3,3,2,3,Critical thinking; broad experience;,"Component/precursor production, Cell production, Consulting",Doctorate,Chemistry,United States,77845,105000,44,49,Asian,Male,Citizen (foreign-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,2,5,1,105000,Small increase based on performance,0,1,12,Research,Mid-sized (stable growth),United States,Texas,5,101-250,1-10,Sr. Scientist,"Research and development, Managing projects or programs",Senior,"Learning and skills development, Desirable work location, Work-life balance",No,,3,3,4,5,"Learning on the job, Peer mentors","Better foundational knowledge, More hands-on skills, Better understanding of culture and norms",2,Knowledge; learning; working hard,Scientists,Low salaries,0,TRUE,3,3,3,5,"Career growth opportunities, Salary, bonuses, Work location flexibility, Company culture, Job stability","Money, benefits, role, culture",2,2,2,1,"Healthcare coverage or stipend, Retirement account funding or match",2,4,5,No,,,,,,,,,,,,,,,,,10/22/2024 14:50:15,7mrjsrwcme0z4snyvpcvg97mrjsry20r
2,1,2,1,5,"electrochemistry, materials characterization, battery assembly","Cell production, Product integration (stationary storage)",Doctorate,,United States,94304,180000,35,31,Asian,Male,Non-citizen (Other),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,2,3,1,180000,"Bonuses (based on individual performance), Equity (stock, options, etc.)",1,1,2,Cell production,Scale-up (rapid growth),United States,California,5,11-50,11-20,senior chemical engineer,"Engineering and design, Research and development",Career,"Work-life balance, Job security","Yes, in a different role",semiconductor process engineer,2,4,5,5,"Learning on the job, Peer mentors","Better foundational knowledge, More hands-on skills, Better understanding of culture and norms",0,,,flexibility,1,TRUE,1,1,1,5,"Salary, bonuses, Job stability, Vacation time, Equity, Career growth opportunities, Parental leave, Work location flexibility, Total hours worked, Company culture",growth; compensation; flexibility,1,1,2,1,"Healthcare coverage or stipend, Retirement account funding or match, Transit benefits, Gym or physical wellness stipend",8,3,5,,,,,,,,,,,,,,,,,,10/22/2024 16:15:52,wa7f5om2ff3tjqxrywa7f5om7b8s8msv
5,5,2,5,5,Regulatory Compliance; Battery synthesis; Engineering,"Recycling, Safety & Compliance",Bachelors,Commercial Art and Graphic Design,United States,01821,80000,50,32,Decline to answer,Female,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,4,4,3,80000,"Equity (stock, options, etc.)",0,0,1,Equipment manufacturing,Startup (early growth),United States,Massachusetts,5,11-50,1-10,EHS & Compliance Manager,Safety & Compliance,Manager,"Autonomy and independence, Sustainability and impact, Job security, Challenge and innovation, Career growth opportunities, Learning and skills development, Love for what I do","Yes, in a similar role",,3,4,4,5,"Learning on the job, Formal training programs, Peer mentors",Better foundational knowledge,0,Collaboration; Quick Learning; Compliance Experience,Internal Infrastructure Roles; Facilities; IT; Administration,Too much priority in hiring engineers without hiring enough internal infrastructure roles to support effectively.,4,FALSE,4,4,5,3,"Salary, bonuses, Vacation time, Company culture, Total hours worked, Career growth opportunities",,1,1,1,4,"Healthcare coverage or stipend, Retirement account funding or match, Gym or physical wellness stipend",12,3,5,Flexible hours,,,,,,,,,,,,,,,,,10/22/2024 19:13:39,2nhorz1x329n02k9ghvj2nhor9hw3yfo
